Year,AnnÈe,ISO,Jurisdiction,Juridiction,Fire size class,Classe de superficie ‡ l'extinction ,Number,Data Qualifier,Nombre,Qualificatifs de donnÈes
2008,2008,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",340,a,340,a
2008,2008,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",136,a,136,a
2008,2008,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,1,a,1,a
2008,2008,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",47,a,47,a
2008,2008,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",9,a,9,a
2008,2008,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,2,a,2,a
2008,2008,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",1187,a,1187,a
2009,2009,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",307,a,307,a
2009,2009,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",133,a,133,a
2009,2009,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,2,a,2,a
2009,2009,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",44,a,44,a
2009,2009,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",16,a,16,a
2009,2009,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,7,a,7,a
2009,2009,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",1164,a,1164,a
2010,2010,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",403,a,403,a
2010,2010,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",194,a,194,a
2010,2010,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,2,a,2,a
2010,2010,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",67,a,67,a
2010,2010,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",13,a,13,a
2010,2010,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,7,a,7,a
2010,2010,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",1206,a,1206,a
2011,2011,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",243,a,243,a
2011,2011,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",87,a,87,a
2011,2011,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,6,a,6,a
2011,2011,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",36,a,36,a
2011,2011,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",19,a,19,a
2011,2011,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,8,a,8,a
2011,2011,AB,Alberta,Alberta,Over 100 000,Over 100 000,1,a,1,a
2011,2011,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",773,a,773,a
