Year,AnnÈe,ISO,Jurisdiction,Juridiction,Fire size class,Classe de superficie ‡ l'extinction ,Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de donnÈes
2018,2018,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",26.4,a,26.4,a
2019,2019,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",90.21,a,90.21,a
2019,2019,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",352.75,a,352.75,a
2019,2019,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,236997.7,a,236997.7,a
2019,2019,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1186.33,a,1186.33,a
2019,2019,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",4582.2,a,4582.2,a
2019,2019,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,19535.3,a,19535.3,a
2019,2019,AB,Alberta,Alberta,Over 100 000,Over 100 000,623179.89,a,623179.89,a
2019,2019,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",18.86,a,18.86,a
1990,1990,BC,British Columbia,Colombie-Britannique,0.11 - 1.0 ha,"0,11 - 1 ha",291.5,a,291.5,a
1990,1990,BC,British Columbia,Colombie-Britannique,1.1 - 10 ha,"1,1 - 10 ha",1181.1,a,1181.1,a
1990,1990,BC,British Columbia,Colombie-Britannique,10 000 - 100 000 ha,10 000 - 100 000 ha,36293.4,a,36293.4,a
1990,1990,BC,British Columbia,Colombie-Britannique,10.1 - 100 ha,"10,1 - 100 ha",4259.3,a,4259.3,a
1990,1990,BC,British Columbia,Colombie-Britannique,100.1 - 1 000 ha,"100,1 - 1 000 ha",12492.7,a,12492.7,a
1990,1990,BC,British Columbia,Colombie-Britannique,1000 - 10 000 ha,1000 - 10 000 ha,21120.6,a,21120.6,a
1990,1990,BC,British Columbia,Colombie-Britannique,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",143.2,a,143.2,a
1991,1991,BC,British Columbia,Colombie-Britannique,0.11 - 1.0 ha,"0,11 - 1 ha",175,a,175,a
