,Year,Jurisdiction,Month_index,Month,Number,Area (hectares),area per fire
1397,1999,Nova Scotia,5,May,129,74.15,0.5748062015503876
1398,1999,Nova Scotia,6,June,97,150.2,1.5484536082474225
1399,1999,Nova Scotia,7,July,89,52.93,0.5947191011235955
1400,1999,Nova Scotia,8,August,24,2.31,0.09625
1401,1999,Nova Scotia,9,September,14,0.65,0.04642857142857143
1402,2000,Nova Scotia,10,October,8,24.12,3.015
1403,2000,Nova Scotia,11,November,1,0.1,0.1
1404,2000,Nova Scotia,3,March,4,2.9,0.725
1405,2000,Nova Scotia,4,April,19,7.05,0.37105263157894736
1406,2000,Nova Scotia,5,May,57,235.71,4.135263157894737
1407,2000,Nova Scotia,6,June,51,209.54,4.108627450980392
1408,2000,Nova Scotia,7,July,25,2.16,0.0864
1409,2000,Nova Scotia,8,August,29,3.6,0.12413793103448276
1410,2000,Nova Scotia,9,September,18,2.99,0.16611111111111113
1411,2001,Nova Scotia,10,October,28,63.29,2.260357142857143
1412,2001,Nova Scotia,11,November,7,1.43,0.20428571428571426
1413,2001,Nova Scotia,3,March,4,0.22,0.055
1414,2001,Nova Scotia,4,April,36,70.56,1.96
1415,2001,Nova Scotia,5,May,139,160.48,1.1545323741007194
1416,2001,Nova Scotia,6,June,31,5.4,0.17419354838709677
1417,2001,Nova Scotia,7,July,65,16.73,0.2573846153846154
1418,2001,Nova Scotia,8,August,128,189.83,1.483046875
1419,2001,Nova Scotia,9,September,47,20.87,0.4440425531914894
1420,2002,Nova Scotia,3,March,4,3.32,0.83
1421,2002,Nova Scotia,4,April,23,39.65,1.7239130434782608
1422,2002,Nova Scotia,5,May,111,124.08,1.1178378378378377
1423,2002,Nova Scotia,6,June,31,14.95,0.482258064516129
1424,2002,Nova Scotia,7,July,26,5.59,0.215
1425,2002,Nova Scotia,8,August,55,21.28,0.3869090909090909
1426,2002,Nova Scotia,9,September,17,2.38,0.13999999999999999
1427,2003,Nova Scotia,10,October,8,4.2,0.525
1428,2003,Nova Scotia,3,March,2,0.41,0.205
1429,2003,Nova Scotia,4,April,75,190.01,2.5334666666666665
1430,2003,Nova Scotia,5,May,100,1028.86,10.288599999999999
1431,2003,Nova Scotia,6,June,28,6.94,0.24785714285714286
1432,2003,Nova Scotia,7,July,30,19.95,0.6649999999999999
1433,2003,Nova Scotia,8,August,16,3.0,0.1875
1434,2003,Nova Scotia,9,September,13,3.39,0.26076923076923075
1435,2004,Nova Scotia,10,October,4,55.11,13.7775
1436,2004,Nova Scotia,11,November,1,0.4,0.4
1437,2004,Nova Scotia,4,April,31,27.3,0.8806451612903226
1438,2004,Nova Scotia,5,May,137,180.72,1.319124087591241
1439,2004,Nova Scotia,6,June,52,23.16,0.4453846153846154
1440,2004,Nova Scotia,7,July,10,1.47,0.147
1441,2004,Nova Scotia,8,August,15,1.07,0.07133333333333333
1442,2004,Nova Scotia,9,September,8,0.6,0.075
1443,2005,Nova Scotia,10,October,2,0.0,0.0
1444,2005,Nova Scotia,3,March,3,12.0,4.0
1445,2005,Nova Scotia,4,April,155,433.0,2.793548387096774
1446,2005,Nova Scotia,5,May,12,9.0,0.75
1447,2005,Nova Scotia,6,June,39,21.0,0.5384615384615384
1448,2005,Nova Scotia,7,July,15,1.0,0.06666666666666667
1449,2005,Nova Scotia,8,August,41,15.0,0.36585365853658536
1450,2005,Nova Scotia,9,September,22,4.0,0.18181818181818182
1451,2006,Nova Scotia,10,October,1,0.0,0.0
1452,2006,Nova Scotia,3,March,86,1088.0,12.651162790697674
1453,2006,Nova Scotia,4,April,69,414.0,6.0
1454,2006,Nova Scotia,5,May,29,66.0,2.2758620689655173
1455,2006,Nova Scotia,6,June,1,0.0,0.0
1456,2006,Nova Scotia,7,July,6,0.0,0.0
1457,2006,Nova Scotia,8,August,10,4.0,0.4
1458,2006,Nova Scotia,9,September,12,0.0,0.0
1459,2007,Nova Scotia,10,October,3,2.0,0.6666666666666666
1460,2007,Nova Scotia,11,November,1,0.0,0.0
1461,2007,Nova Scotia,3,March,18,60.0,3.3333333333333335
1462,2007,Nova Scotia,4,April,148,319.0,2.1554054054054053
1463,2007,Nova Scotia,5,May,164,285.0,1.7378048780487805
1464,2007,Nova Scotia,6,June,16,5.0,0.3125
1465,2007,Nova Scotia,7,July,15,18.0,1.2
1466,2007,Nova Scotia,8,August,19,0.0,0.0
1467,2007,Nova Scotia,9,September,2,0.0,0.0
1468,2008,Nova Scotia,10,October,2,1.0,0.5
1469,2008,Nova Scotia,11,November,1,1.0,1.0
1470,2008,Nova Scotia,3,March,2,7.0,3.5
1471,2008,Nova Scotia,4,April,136,279.0,2.051470588235294
1472,2008,Nova Scotia,5,May,45,71.0,1.5777777777777777
1473,2008,Nova Scotia,6,June,37,2335.0,63.108108108108105
1474,2008,Nova Scotia,7,July,19,6.0,0.3157894736842105
1475,2008,Nova Scotia,8,August,2,0.0,0.0
1476,2008,Nova Scotia,9,September,3,0.0,0.0
1477,2009,Nova Scotia,3,March,4,0.0,0.0
1478,2009,Nova Scotia,4,April,104,857.0,8.240384615384615
1479,2009,Nova Scotia,5,May,46,24.0,0.5217391304347826
1480,2009,Nova Scotia,6,June,8,0.0,0.0
1481,2009,Nova Scotia,7,July,7,1.0,0.14285714285714285
1482,2009,Nova Scotia,8,August,14,0.0,0.0
1483,2009,Nova Scotia,9,September,7,1.0,0.14285714285714285
1484,2010,Nova Scotia,11,November,5,5.5,1.1
1485,2010,Nova Scotia,3,March,59,253.17,4.291016949152542
1486,2010,Nova Scotia,4,April,112,134.86,1.204107142857143
1487,2010,Nova Scotia,5,May,63,36.87,0.5852380952380952
1488,2010,Nova Scotia,6,June,9,5.34,0.5933333333333333
1489,2011,Nova Scotia,3,March,20,17.52,0.876
1490,2011,Nova Scotia,4,April,62,123.59,1.9933870967741936
1491,2011,Nova Scotia,5,May,9,3.83,0.4255555555555556
1492,2011,Nova Scotia,6,June,6,0.36,0.06
1493,2011,Nova Scotia,7,July,8,1.64,0.205
1494,2011,Nova Scotia,8,August,7,0.13,0.018571428571428572
1495,2011,Nova Scotia,9,September,2,3.2,1.6
1496,2012,Nova Scotia,3,March,72,82.1,1.1402777777777777
1497,2012,Nova Scotia,4,April,157,226.55,1.4429936305732485
1498,2012,Nova Scotia,5,May,35,25.74,0.7354285714285714
1499,2012,Nova Scotia,6,June,22,3.64,0.16545454545454547
1500,2012,Nova Scotia,7,July,31,16.19,0.5222580645161291
1501,2012,Nova Scotia,8,August,26,5.18,0.1992307692307692
1502,2012,Nova Scotia,9,September,9,2.41,0.2677777777777778
1503,2013,Nova Scotia,3,March,3,1.64,0.5466666666666666
1504,2013,Nova Scotia,4,April,59,144.9,2.4559322033898305
1505,2013,Nova Scotia,5,May,82,152.115,1.8550609756097562
1506,2013,Nova Scotia,6,June,2,0.25,0.125
1507,2013,Nova Scotia,7,July,6,0.92,0.15333333333333335
1508,2013,Nova Scotia,8,August,17,1.422,0.08364705882352941
1509,2013,Nova Scotia,9,September,2,0.1,0.05
1510,2014,Nova Scotia,10,October,5,0.3202,0.06404
1511,2014,Nova Scotia,3,March,1,0.18,0.18
1512,2014,Nova Scotia,4,April,41,135.78,3.3117073170731706
1513,2014,Nova Scotia,5,May,71,383.86,5.406478873239437
1514,2014,Nova Scotia,6,June,23,13.1331,0.571004347826087
1515,2014,Nova Scotia,7,July,12,26.58,2.215
1516,2014,Nova Scotia,8,August,10,1.701,0.1701
1517,2014,Nova Scotia,9,September,8,2.9064,0.3633
1518,2015,Nova Scotia,4,April,1,0.1,0.1
1519,2015,Nova Scotia,5,May,202,498.778,2.4691980198019805
1520,2015,Nova Scotia,6,June,6,1.3679,0.22798333333333332
1521,2015,Nova Scotia,7,July,12,11.973,0.99775
1522,2015,Nova Scotia,8,August,8,1.18,0.1475
1523,2015,Nova Scotia,9,September,18,3.351,0.18616666666666667
1524,2016,Nova Scotia,10,October,4,0.25,0.0625
1525,2016,Nova Scotia,3,March,1,2.49,2.49
1526,2016,Nova Scotia,4,April,102,264.551,2.5936372549019606
1527,2016,Nova Scotia,5,May,59,59.321,1.0054406779661016
1528,2016,Nova Scotia,6,June,28,26.113,0.9326071428571429
1529,2016,Nova Scotia,7,July,15,15.783,1.0522
1530,2016,Nova Scotia,8,August,38,429.485,11.302236842105264
1531,2016,Nova Scotia,9,September,22,4.731,0.21504545454545454
1532,2017,Nova Scotia,10,October,5,0.0,0.0
1533,2017,Nova Scotia,11,November,1,0.0,0.0
1534,2017,Nova Scotia,4,April,82,571.84,6.973658536585366
1535,2017,Nova Scotia,5,May,44,0.78,0.017727272727272727
1536,2017,Nova Scotia,6,June,11,0.15,0.013636363636363636
1537,2017,Nova Scotia,7,July,10,0.0,0.0
1538,2017,Nova Scotia,8,August,15,0.0,0.0
1539,2017,Nova Scotia,9,September,7,0.0,0.0
1540,2018,Nova Scotia,3,March,2,22.5999999,11.29999995
1541,2018,Nova Scotia,4,April,51,99.38000026,1.9486274560784314
1542,2018,Nova Scotia,5,May,51,28.07000011,0.5503921590196078
1543,2018,Nova Scotia,6,June,24,31.06999995,1.29458333125
1544,2018,Nova Scotia,7,July,23,4.759999955,0.20695651978260868
1545,2018,Nova Scotia,8,August,17,3.150000025,0.18529411911764707
1546,2018,Nova Scotia,9,September,22,6.3800001,0.29000000454545455
1547,2019,Nova Scotia,10,October,2,0.11,0.055
1548,2019,Nova Scotia,3,March,17,24.55,1.4441176470588235
1549,2019,Nova Scotia,4,April,16,18.02,1.12625
1550,2019,Nova Scotia,5,May,45,47.41,1.0535555555555556
1551,2019,Nova Scotia,6,June,13,16.04,1.2338461538461538
1552,2019,Nova Scotia,7,July,7,2.33,0.33285714285714285
1553,2019,Nova Scotia,8,August,34,27.62,0.8123529411764706
1554,2019,Nova Scotia,9,September,9,0.69,0.07666666666666666
1555,1990,Northwest Territories,5,May,10,54.64,5.464
1556,1990,Northwest Territories,6,June,98,3838.41,39.16744897959183
1557,1990,Northwest Territories,7,July,113,100678.28,890.9582300884956
1558,1990,Northwest Territories,8,August,13,45.56,3.5046153846153847
1559,1990,Northwest Territories,9,September,2,0.51,0.255
1560,1991,Northwest Territories,5,May,5,7.61,1.522
1561,1991,Northwest Territories,6,June,59,14135.78,239.58949152542374
1562,1991,Northwest Territories,7,July,149,133586.08,896.5508724832214
1563,1991,Northwest Territories,8,August,117,77736.2,664.4119658119658
1564,1991,Northwest Territories,9,September,1,0.75,0.75
1565,1992,Northwest Territories,5,May,9,33.07,3.6744444444444446
1566,1992,Northwest Territories,6,June,31,9548.45,308.0145161290323
1567,1992,Northwest Territories,7,July,130,21961.16,168.932
1568,1992,Northwest Territories,8,August,100,5200.79,52.0079
1569,1992,Northwest Territories,9,September,15,205.98,13.732
1570,1993,Northwest Territories,12,December,2,0.02,0.01
1571,1993,Northwest Territories,5,May,13,7420.85,570.8346153846154
1572,1993,Northwest Territories,6,June,175,98077.91,560.4452
1573,1993,Northwest Territories,7,July,249,758719.67,3047.0669477911647
1574,1993,Northwest Territories,8,August,30,65.82,2.194
1575,1993,Northwest Territories,9,September,4,1.56,0.39
1576,1994,Northwest Territories,1,January,2,0.02,0.01
1577,1994,Northwest Territories,10,October,8,6.55,0.81875
1578,1994,Northwest Territories,11,November,1,0.2,0.2
1579,1994,Northwest Territories,12,December,1,0.5,0.5
1580,1994,Northwest Territories,2,February,1,0.01,0.01
1581,1994,Northwest Territories,4,April,1,0.75,0.75
1582,1994,Northwest Territories,5,May,37,27941.01,755.1624324324324
1583,1994,Northwest Territories,6,June,185,1057680.22,5717.190378378378
1584,1994,Northwest Territories,7,July,326,1732458.96,5314.291288343558
1585,1994,Northwest Territories,8,August,78,203213.5,2605.301282051282
1586,1994,Northwest Territories,9,September,13,6012.83,462.5253846153846
1587,1995,Northwest Territories,10,October,1,0.01,0.01
1588,1995,Northwest Territories,11,November,3,0.1,0.03333333333333333
1589,1995,Northwest Territories,4,April,1,200.0,200.0
1590,1995,Northwest Territories,5,May,24,69031.91,2876.3295833333336
1591,1995,Northwest Territories,6,June,79,2491437.67,31537.18569620253
1592,1995,Northwest Territories,7,July,56,28777.48,513.8835714285714
1593,1995,Northwest Territories,8,August,47,253904.45,5402.222340425532
1594,1995,Northwest Territories,9,September,7,14.82,2.117142857142857
1595,1996,Northwest Territories,4,April,1,1.5,1.5
1596,1996,Northwest Territories,5,May,11,2014.01,183.09181818181818
1597,1996,Northwest Territories,6,June,182,281701.6,1547.8109890109888
1598,1996,Northwest Territories,7,July,134,86436.9,645.0514925373134
1599,1996,Northwest Territories,8,August,22,1390.71,63.21409090909091
1600,1997,Northwest Territories,5,May,1,0.01,0.01
1601,1997,Northwest Territories,6,June,17,5539.24,325.8376470588235
1602,1997,Northwest Territories,7,July,74,120774.08,1632.0821621621621
1603,1997,Northwest Territories,8,August,10,204.84,20.484
1604,1997,Northwest Territories,9,September,3,13.1,4.366666666666666
1605,1998,Northwest Territories,5,May,24,14035.62,584.8175
1606,1998,Northwest Territories,6,June,76,306511.26,4033.0428947368423
1607,1998,Northwest Territories,7,July,228,1077845.83,4727.39399122807
1608,1998,Northwest Territories,8,August,69,60566.6,877.7768115942029
1609,1998,Northwest Territories,9,September,2,0.85,0.425
1610,1999,Northwest Territories,4,April,1,3358.0,3358.0
1611,1999,Northwest Territories,5,May,3,7802.01,2600.67
1612,1999,Northwest Territories,6,June,70,412386.78,5891.239714285714
1613,1999,Northwest Territories,7,July,39,109823.67,2815.9915384615383
1614,1999,Northwest Territories,8,August,53,18643.23,351.75905660377356
1615,1999,Northwest Territories,9,September,6,9020.95,1503.4916666666668
1616,2000,Northwest Territories,5,May,5,3.61,0.722
1617,2000,Northwest Territories,6,June,90,61749.93,686.1103333333333
1618,2000,Northwest Territories,7,July,144,99864.72,693.505
1619,2000,Northwest Territories,8,August,36,16217.53,450.4869444444445
1620,2001,Northwest Territories,6,June,49,36086.13,736.4516326530612
1621,2001,Northwest Territories,7,July,71,66827.99,941.239295774648
1622,2001,Northwest Territories,8,August,5,8347.0,1669.4
1623,2001,Northwest Territories,9,September,2,0.6,0.3
1624,2002,Northwest Territories,5,May,2,0.2,0.1
1625,2002,Northwest Territories,6,June,38,6484.52,170.64526315789476
1626,2002,Northwest Territories,7,July,41,19231.93,469.07146341463414
1627,2002,Northwest Territories,8,August,4,1372.52,343.13
1628,2003,Northwest Territories,5,May,6,7.68,1.28
1629,2003,Northwest Territories,6,June,48,8381.57,174.61604166666666
1630,2003,Northwest Territories,7,July,86,117710.32,1368.7246511627907
1631,2003,Northwest Territories,8,August,19,1571.83,82.7278947368421
1632,2003,Northwest Territories,9,September,1,150.0,150.0
1633,2004,Northwest Territories,10,October,2,6.6,3.3
1634,2004,Northwest Territories,11,November,1,1.0,1.0
1635,2004,Northwest Territories,5,May,3,2.7,0.9
1636,2004,Northwest Territories,6,June,49,41191.03,840.6332653061224
1637,2004,Northwest Territories,7,July,206,450658.64,2187.663300970874
1638,2004,Northwest Territories,8,August,27,15478.75,573.2870370370371
1639,2004,Northwest Territories,9,September,9,8282.31,920.2566666666667
1640,2005,Northwest Territories,10,October,1,0.4,0.4
1641,2005,Northwest Territories,5,May,15,2989.99,199.33266666666665
1642,2005,Northwest Territories,6,June,43,5700.47,132.56906976744187
1643,2005,Northwest Territories,7,July,194,209403.44,1079.399175257732
1644,2005,Northwest Territories,8,August,5,36.81,7.362
1645,2005,Northwest Territories,9,September,3,1.51,0.5033333333333333
1646,2006,Northwest Territories,10,October,1,0.1,0.1
1647,2006,Northwest Territories,5,May,1,0.01,0.01
1648,2006,Northwest Territories,6,June,34,4709.6,138.51764705882354
1649,2006,Northwest Territories,7,July,58,39652.79,683.6687931034483
1650,2006,Northwest Territories,8,August,63,8913.53,141.4846031746032
1651,2006,Northwest Territories,9,September,9,121.0,13.444444444444445
1652,2007,Northwest Territories,5,May,2,89542.1,44771.05
1653,2007,Northwest Territories,6,June,79,181028.7,2291.50253164557
1654,2007,Northwest Territories,7,July,89,172367.66,1936.7152808988765
1655,2007,Northwest Territories,8,August,14,2190.92,156.49428571428572
1656,2008,Northwest Territories,5,May,8,5.04,0.63
1657,2008,Northwest Territories,6,June,61,102177.55,1675.0418032786886
1658,2008,Northwest Territories,7,July,85,177236.33,2085.133294117647
1659,2008,Northwest Territories,8,August,86,29369.83,341.5096511627907
1660,2009,Northwest Territories,5,May,3,2.1,0.7000000000000001
1661,2009,Northwest Territories,6,June,15,483.7,32.24666666666666
1662,2009,Northwest Territories,7,July,10,1546.4,154.64000000000001
1663,2009,Northwest Territories,8,August,13,24.45,1.8807692307692307
1664,2009,Northwest Territories,9,September,1,0.2,0.2
1665,2010,Northwest Territories,5,May,5,6.91,1.3820000000000001
1666,2010,Northwest Territories,6,June,81,172406.3,2128.4728395061725
1667,2010,Northwest Territories,7,July,121,177329.74,1465.5350413223139
1668,2010,Northwest Territories,8,August,13,1114.03,85.69461538461539
1669,2010,Northwest Territories,9,September,4,70.01,17.5025
1670,2011,Northwest Territories,5,May,14,25.02,1.7871428571428571
1671,2011,Northwest Territories,6,June,78,239015.5804,3064.3023128205127
1672,2011,Northwest Territories,7,July,83,87025.8842,1048.5046289156626
1673,2011,Northwest Territories,8,August,22,3490.32,158.6509090909091
1674,2011,Northwest Territories,9,September,2,24.02,12.01
1675,2012,Northwest Territories,5,May,12,23833.83,1986.1525000000001
1676,2012,Northwest Territories,6,June,75,116113.75,1548.1833333333334
1677,2012,Northwest Territories,7,July,143,138031.96,965.2584615384615
1678,2012,Northwest Territories,8,August,41,21055.31,513.5441463414635
1679,2012,Northwest Territories,9,September,10,721.51,72.151
1680,2013,Northwest Territories,5,May,4,1034.93,258.7325
1681,2013,Northwest Territories,6,June,145,431823.55,2978.093448275862
1682,2013,Northwest Territories,7,July,75,73225.41,976.3388
1683,2013,Northwest Territories,8,August,19,31787.5,1673.0263157894738
1684,2013,Northwest Territories,9,September,5,1.33,0.266
1685,2014,Northwest Territories,4,April,1,0.5,0.5
1686,2014,Northwest Territories,5,May,4,74297.65,18574.4125
1687,2014,Northwest Territories,6,June,117,2183079.64,18658.800341880342
1688,2014,Northwest Territories,7,July,187,1029607.55,5505.922727272728
1689,2014,Northwest Territories,8,August,76,131305.18,1727.6997368421053
1690,2015,Northwest Territories,11,November,4,3346.7,836.675
1691,2015,Northwest Territories,5,May,53,203821.82,3845.6947169811324
1692,2015,Northwest Territories,6,June,123,393496.95,3199.1621951219513
1693,2015,Northwest Territories,7,July,38,25877.05,680.975
1694,2015,Northwest Territories,8,August,27,20445.12,757.2266666666666
1695,2016,Northwest Territories,5,May,3,8.02,2.6733333333333333
1696,2016,Northwest Territories,6,June,54,108060.67,2001.1235185185185
1697,2016,Northwest Territories,7,July,111,142762.63,1286.1498198198199
1698,2016,Northwest Territories,8,August,20,4168.04,208.402
1699,2017,Northwest Territories,5,May,17,941.03,55.35470588235294
1700,2017,Northwest Territories,6,June,32,106087.21,3315.2253125
1701,2017,Northwest Territories,7,July,123,823762.51,6697.256178861789
1702,2017,Northwest Territories,8,August,76,97971.93,1289.104342105263
1703,2017,Northwest Territories,9,September,13,1496.13,115.08692307692309
1704,2018,Northwest Territories,11,November,1,0.1,0.1
1705,2018,Northwest Territories,5,May,3,3.02,1.0066666666666666
1706,2018,Northwest Territories,6,June,14,3232.31,230.87928571428571
1707,2018,Northwest Territories,7,July,34,7998.2,235.24117647058824
1708,2018,Northwest Territories,8,August,5,4483.0,896.6
1709,2018,Northwest Territories,9,September,2,21.01,10.505
1710,2019,Northwest Territories,11,November,1,0.1,0.1
1711,2019,Northwest Territories,4,April,6,1.06,0.17666666666666667
1712,2019,Northwest Territories,5,May,8,3484.29,435.53625
1713,2019,Northwest Territories,6,June,32,6054.13,189.1915625
1714,2019,Northwest Territories,7,July,88,94783.08,1077.0804545454546
1715,2019,Northwest Territories,8,August,11,844.51,76.77363636363636
1716,1990,Ontario,10,October,31,21.60000005,0.6967741951612902
1717,1990,Ontario,11,November,16,1661.4,103.8375
1718,1990,Ontario,3,March,62,187.8000005,3.0290322661290325
1719,1990,Ontario,4,April,185,683.5000017,3.694594603783784
1720,1990,Ontario,5,May,242,5914.7,24.44090909090909
1721,1990,Ontario,6,June,111,2118.9,19.08918918918919
1722,1990,Ontario,7,July,237,131454.3,554.659493670886
1723,1990,Ontario,8,August,543,41511.5,76.44843462246777
1724,1990,Ontario,9,September,185,59.50000052,0.3216216244324324
1725,1991,Ontario,10,October,11,21.00000001,1.90909091
1726,1991,Ontario,11,November,12,66.80000006,5.566666671666667
1727,1991,Ontario,12,December,1,0.200000003,0.200000003
1728,1991,Ontario,3,March,12,18.60000005,1.5500000041666666
1729,1991,Ontario,4,April,210,1084.900001,5.16619048095238
1730,1991,Ontario,5,May,231,123712.3,535.5510822510822
1731,1991,Ontario,6,June,415,37067.9,89.32024096385543
1732,1991,Ontario,7,July,586,74602.7,127.30836177474403
1733,1991,Ontario,8,August,944,82190.5,87.06620762711864
1734,1991,Ontario,9,September,138,46.20000017,0.3347826099275363
1735,1992,Ontario,10,October,11,5.200000025,0.47272727499999995
1736,1992,Ontario,3,March,2,1.200000003,0.6000000015
1737,1992,Ontario,4,April,58,120.5000003,2.0775862120689657
1738,1992,Ontario,5,May,347,3872.100001,11.158789628242074
1739,1992,Ontario,6,June,380,171293.7,450.77289473684215
1740,1992,Ontario,7,July,60,91.20000008,1.5200000013333332
1741,1992,Ontario,8,August,94,606.4000003,6.451063832978723
1742,1992,Ontario,9,September,8,4.100000009,0.512500001125
1743,1993,Ontario,10,October,10,3.000000015,0.3000000015
1744,1993,Ontario,11,November,4,10.39999995,2.5999999875
1745,1993,Ontario,12,December,2,12.0,6.0
1746,1993,Ontario,3,March,1,532.0,532.0
1747,1993,Ontario,4,April,112,351.5000003,3.138392859821429
1748,1993,Ontario,5,May,171,7675.400001,44.885380122807014
1749,1993,Ontario,6,June,129,95768.5,742.3914728682171
1750,1993,Ontario,7,July,158,71.90000046,0.4550632940506329
1751,1993,Ontario,8,August,144,237.3000004,1.6479166694444443
1752,1993,Ontario,9,September,11,2.800000049,0.254545459
1753,1994,Ontario,10,October,27,68.10000004,2.5222222237037037
1754,1994,Ontario,11,November,7,7.700000077,1.100000011
1755,1994,Ontario,3,March,4,0.800000012,0.200000003
1756,1994,Ontario,4,April,222,667.000001,3.004504509009009
1757,1994,Ontario,5,May,266,910.3000007,3.4221804537593985
1758,1994,Ontario,6,June,412,78312.2,190.07815533980582
1759,1994,Ontario,7,July,59,3517.8,59.623728813559325
1760,1994,Ontario,8,August,55,115.8000001,2.1054545472727275
1761,1994,Ontario,9,September,27,4.700000063,0.1740740764074074
1762,1995,Ontario,10,October,36,95.80000019,2.661111116388889
1763,1995,Ontario,11,November,2,0.500000007,0.2500000035
1764,1995,Ontario,3,March,137,310.2000017,2.2642335890510945
1765,1995,Ontario,4,April,128,560.1000006,4.3757812546875
1766,1995,Ontario,5,May,230,56938.5,247.55869565217392
1767,1995,Ontario,6,June,900,332496.8,369.4408888888889
1768,1995,Ontario,7,July,150,33676.5,224.51
1769,1995,Ontario,8,August,442,188432.3,426.3174208144796
1770,1995,Ontario,9,September,125,52.20000028,0.41760000224
1771,1996,Ontario,0,Unspecified,1,0.300000012,0.300000012
1772,1996,Ontario,10,October,11,190.1,17.28181818181818
1773,1996,Ontario,3,March,7,5.900000006,0.8428571437142857
1774,1996,Ontario,4,April,30,29.29999992,0.976666664
1775,1996,Ontario,5,May,241,1038.200001,4.307883821576763
1776,1996,Ontario,6,June,570,424614.0,744.9368421052632
1777,1996,Ontario,7,July,198,20414.3,103.10252525252525
1778,1996,Ontario,8,August,144,2595.6,18.025
1779,1996,Ontario,9,September,73,114.4000002,1.5671232904109589
1780,1997,Ontario,0,Unspecified,2,0.200000003,0.1000000015
1781,1997,Ontario,10,October,18,29.00000012,1.6111111177777777
1782,1997,Ontario,11,November,1,0.100000001,0.100000001
1783,1997,Ontario,4,April,136,239.4000003,1.7602941198529412
1784,1997,Ontario,5,May,180,5004.8,27.804444444444446
1785,1997,Ontario,6,June,425,20649.2,48.58635294117647
1786,1997,Ontario,7,July,371,12246.9,33.010512129380054
1787,1997,Ontario,8,August,423,413.7000012,0.9780141872340425
1788,1997,Ontario,9,September,90,36.20000021,0.40222222455555556
1789,1998,Ontario,10,October,32,108.9000001,3.403125003125
1790,1998,Ontario,11,November,8,14.80000006,1.8500000075
1791,1998,Ontario,12,December,2,0.200000003,0.1000000015
1792,1998,Ontario,3,March,11,730.5,66.4090909090909
1793,1998,Ontario,4,April,207,27659.7,133.62173913043478
1794,1998,Ontario,5,May,463,24542.4,53.007343412527
1795,1998,Ontario,6,June,254,34159.0,134.48425196850394
1796,1998,Ontario,7,July,710,69189.7,97.45028169014084
1797,1998,Ontario,8,August,477,1678.200001,3.5182389958071276
1798,1998,Ontario,9,September,127,89.00000029,0.7007874038582678
1799,1999,Ontario,10,October,4,0.400000006,0.1000000015
1800,1999,Ontario,11,November,3,1.200000003,0.400000001
1801,1999,Ontario,2,February,1,0.800000012,0.800000012
1802,1999,Ontario,3,March,6,33.2,5.533333333333334
1803,1999,Ontario,4,April,146,73824.5,505.6472602739726
1804,1999,Ontario,5,May,234,218562.7,934.0286324786325
1805,1999,Ontario,6,June,154,14236.1,92.4422077922078
1806,1999,Ontario,7,July,217,298.0000005,1.373271891705069
1807,1999,Ontario,8,August,196,21241.9,108.37704081632654
1808,1999,Ontario,9,September,64,128.0000002,2.000000003125
1809,2000,Ontario,0,Unspecified,3,19.70000003,6.566666676666667
1810,2000,Ontario,10,October,83,511.200002,6.159036168674699
1811,2000,Ontario,11,November,7,89.59999984,12.799999977142857
1812,2000,Ontario,2,February,1,0.100000001,0.100000001
1813,2000,Ontario,3,March,17,98.80000005,5.811764708823529
1814,2000,Ontario,4,April,99,604.4000002,6.1050505070707075
1815,2000,Ontario,5,May,88,246.6000006,2.802272734090909
1816,2000,Ontario,6,June,44,452.3000001,10.279545456818182
1817,2000,Ontario,7,July,117,4672.6,39.93675213675214
1818,2000,Ontario,8,August,156,63.60000046,0.4076923106410256
1819,2000,Ontario,9,September,38,19.50000023,0.5131579007894738
1820,2001,Ontario,1,January,1,0.5,0.5
1821,2001,Ontario,10,October,10,4.399999999,0.43999999990000005
1822,2001,Ontario,11,November,2,2.100000001,1.0500000005
1823,2001,Ontario,3,March,1,2.0,2.0
1824,2001,Ontario,4,April,52,380.4000005,7.315384624999999
1825,2001,Ontario,5,May,114,2518.999998,22.096491210526313
1826,2001,Ontario,6,June,267,3055.3,11.44307116104869
1827,2001,Ontario,7,July,373,4299.400001,11.526541557640751
1828,2001,Ontario,8,August,657,494.9000013,0.7532724525114155
1829,2001,Ontario,9,September,109,87.20000017,0.800000001559633
1830,2002,Ontario,0,Unspecified,1,450.0,450.0
1831,2002,Ontario,10,October,8,1.20000001,0.15000000125
1832,2002,Ontario,11,November,1,0.100000001,0.100000001
1833,2002,Ontario,3,March,1,6.0,6.0
1834,2002,Ontario,4,April,26,53.00000005,2.038461540384615
1835,2002,Ontario,5,May,105,1928.3,18.364761904761906
1836,2002,Ontario,6,June,85,52621.2,619.0729411764705
1837,2002,Ontario,7,July,536,125647.5,234.4169776119403
1838,2002,Ontario,8,August,212,1424.100001,6.717452834905661
1839,2002,Ontario,9,September,187,88.30000053,0.47219251620320857
1840,2003,Ontario,1,January,28,68.90000004,2.460714287142857
1841,2003,Ontario,10,October,18,6.500000075,0.3611111152777778
1842,2003,Ontario,11,November,23,63.1999993,2.747826056521739
1843,2003,Ontario,12,December,40,38.80000007,0.9700000017500001
1844,2003,Ontario,2,February,25,29.1999999,1.167999996
1845,2003,Ontario,3,March,37,92.40000007,2.4972972991891895
1846,2003,Ontario,4,April,95,412.0000002,4.336842107368421
